precinct,year,category,incident_count
17,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,0
17,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,0
17,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,2
17,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,1
17,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,1
17,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,0
17,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,0
17,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,0
17,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,2
17,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,0
17,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,0
18,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,1
18,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,5
18,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,2
18,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,4
18,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,3
18,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,3
18,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,4
18,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,1
18,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,3
18,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,2
18,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,3
18,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,0
18,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,4
18,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,0
18,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,2
19,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,3
19,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,1
19,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,3
19,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,2
19,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,0
19,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,4
19,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,1
19,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,5
19,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,1
19,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,2
19,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,1
19,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,3
19,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,0
19,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,0
19,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,0
20,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,1
20,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,1
20,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,1
20,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,2
20,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,1
20,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,0
20,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,1
20,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,0
20,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,1
20,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,5
20,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,1
20,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,0
20,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,2
20,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,2
20,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,1
22,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,1
22,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,0
23,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,9
23,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,10
23,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,8
23,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,8
23,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,5
23,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,11
23,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,10
23,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,10
23,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,3
23,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,9
23,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,5
23,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,5
23,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,2
23,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,4
23,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,4
24,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,3
24,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,3
24,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,2
24,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,5
24,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,0
24,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,2
24,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,5
24,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,2
24,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,4
24,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,3
24,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,2
24,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,5
24,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,4
24,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,2
24,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,1
25,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,10
25,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,7
25,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,7
25,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,6
25,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,8
25,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,8
25,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,9
25,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,10
25,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,4
25,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,3
25,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,13
25,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,9
25,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,10
25,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,3
25,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,5
26,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,4
26,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,1
26,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,2
26,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,4
26,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,5
26,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,5
26,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,0
26,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,2
26,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,4
26,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,2
26,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,2
26,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,2
26,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,3
26,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,1
26,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,2
28,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,5
28,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,8
28,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,3
28,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,5
28,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,8
28,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,5
28,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,12
28,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,4
28,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,5
28,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,2
28,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,6
28,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,6
28,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,5
28,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,2
28,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,1
30,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,9
30,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,11
30,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,9
30,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,5
30,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,9
30,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,6
30,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,12
30,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,5
30,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,3
30,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,1
30,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,7
30,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,2
30,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,2
30,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,3
30,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,7
32,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,17
32,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,22
32,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,14
32,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,13
32,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,18
32,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,9
32,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,17
32,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,9
32,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,13
32,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,11
32,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,8
32,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,10
32,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,11
32,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,7
32,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,6
33,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,12
33,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,8
33,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,5
33,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,6
33,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,5
33,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,6
33,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,10
33,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,5
33,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,2
33,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,3
33,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,4
33,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,7
